task,split_name,split_fold,model,mode,seed,accuracy__k1_shuffle,accuracy__k2_shuffle,accuracy__k3_shuffle,accuracy__matched_negative_replacement,accuracy__motif_disruption,accuracy__motif_preserving_flank_shuffle,accuracy__original,accuracy__reverse_complement,auprc__k1_shuffle,auprc__k2_shuffle,auprc__k3_shuffle,auprc__matched_negative_replacement,auprc__motif_disruption,auprc__motif_preserving_flank_shuffle,auprc__original,auprc__reverse_complement,auroc__k1_shuffle,auroc__k2_shuffle,auroc__k3_shuffle,auroc__matched_negative_replacement,auroc__motif_disruption,auroc__motif_preserving_flank_shuffle,auroc__original,auroc__reverse_complement,brier__k1_shuffle,brier__k2_shuffle,brier__k3_shuffle,brier__matched_negative_replacement,brier__motif_disruption,brier__motif_preserving_flank_shuffle,brier__original,brier__reverse_complement,calibration_shift__k1_shuffle,calibration_shift__k2_shuffle,calibration_shift__k3_shuffle,calibration_shift__matched_negative_replacement,calibration_shift__motif_disruption,calibration_shift__motif_preserving_flank_shuffle,calibration_shift__reverse_complement,ece__k1_shuffle,ece__k2_shuffle,ece__k3_shuffle,ece__matched_negative_replacement,ece__motif_disruption,ece__motif_preserving_flank_shuffle,ece__original,ece__reverse_complement,flip_rate__k1_shuffle,flip_rate__k2_shuffle,flip_rate__k3_shuffle,flip_rate__matched_negative_replacement,flip_rate__motif_disruption,flip_rate__motif_preserving_flank_shuffle,flip_rate__reverse_complement,mcc__k1_shuffle,mcc__k2_shuffle,mcc__k3_shuffle,mcc__matched_negative_replacement,mcc__motif_disruption,mcc__motif_preserving_flank_shuffle,mcc__original,mcc__reverse_complement,mean_abs_delta__k1_shuffle,mean_abs_delta__k2_shuffle,mean_abs_delta__k3_shuffle,mean_abs_delta__matched_negative_replacement,mean_abs_delta__motif_disruption,mean_abs_delta__motif_preserving_flank_shuffle,mean_abs_delta__reverse_complement,positive_prob_drop__k1_shuffle,positive_prob_drop__k2_shuffle,positive_prob_drop__k3_shuffle,positive_prob_drop__matched_negative_replacement,positive_prob_drop__motif_disruption,positive_prob_drop__motif_preserving_flank_shuffle,positive_prob_drop__reverse_complement
drosophila_enhancers_stark,official,none,kmer_logistic_regression,frozen,-1,0.6398843930635838,0.6398843930635838,,,,,0.6398843930635838,0.6398843930635838,,,,,,,,,0.6891095592903204,0.6891095592903204,,,,,0.6891095592903204,0.6891095592903204,0.4676125453788157,0.4657216938026657,,,,,0.3366945793667698,0.3660901792581062,0.1356379987721738,0.1351415870763492,,,,,0.0324491658575981,0.4599497968217557,0.4594533851259311,,,,,0.3243117980495819,0.35676096390718,0.4901734104046242,0.5028901734104047,,,,,0.4040462427745664,,,,,,,,,0.4875489045386866,0.4941509558395831,,,,,0.3999552067730182,0.3757548443763353,0.3365084417030419,,,,,0.0380504537677751
drosophila_enhancers_stark,official,none,kmer_logistic_regression,frozen,42,0.6398843930635838,0.6398843930635838,,,,,0.6398843930635838,0.6398843930635838,,,,,,,,,0.6891095592903204,0.6891095592903204,,,,,0.6891095592903204,0.6891095592903204,0.4676125453788157,0.4657216938026657,,,,,0.3366945793667698,0.3660901792581062,0.1356379987721738,0.1351415870763492,,,,,0.0324491658575981,0.4599497968217557,0.4594533851259311,,,,,0.3243117980495819,0.35676096390718,0.4901734104046242,0.5028901734104047,,,,,0.4040462427745664,,,,,,,,,0.4875489045386866,0.4941509558395831,,,,,0.3999552067730182,0.3757548443763353,0.3365084417030419,,,,,0.0380504537677751
dummy_mouse_enhancers_ensembl,official,none,kmer_logistic_regression,frozen,-1,0.8181818181818182,0.8181818181818182,,,,,0.8181818181818182,0.8181818181818182,,,,,,,,,0.8966600642032647,0.8966600642032647,,,,,0.8966600642032647,0.8966600642032647,0.3676788663814344,0.2457667877971898,,,,,0.1477564372944349,0.193561484176143,0.1958730693831021,0.1161110892648684,,,,,0.0664384911624565,0.3236421196226633,0.2438801395044296,,,,,0.1277690502395612,0.1942075414020178,0.4793388429752066,0.2314049586776859,,,,,0.1570247933884297,,,,,,,,,0.4336245677454272,0.2321162225711011,,,,,0.1651610761398572,0.0646362251000858,0.261365250130633,,,,,0.0483197122307484
dummy_mouse_enhancers_ensembl,official,none,kmer_logistic_regression,frozen,42,0.8181818181818182,0.8181818181818182,,,,,0.8181818181818182,0.8181818181818182,,,,,,,,,0.8966600642032647,0.8966600642032647,,,,,0.8966600642032647,0.8966600642032647,0.3676788663814344,0.2457667877971898,,,,,0.1477564372944349,0.193561484176143,0.1958730693831021,0.1161110892648684,,,,,0.0664384911624565,0.3236421196226633,0.2438801395044296,,,,,0.1277690502395612,0.1942075414020178,0.4793388429752066,0.2314049586776859,,,,,0.1570247933884297,,,,,,,,,0.4336245677454272,0.2321162225711011,,,,,0.1651610761398572,0.0646362251000858,0.261365250130633,,,,,0.0483197122307484
dummy_mouse_enhancers_ensembl,official,none,small_cnn,full,42,0.6487603305785123,0.7355371900826446,0.7231404958677686,0.8140495867768595,0.8140495867768595,0.6570247933884298,0.8140495867768595,0.8264462809917356,0.8272893928597465,0.8532351537333458,0.8385711849718133,0.8894619826549157,0.8881330405337287,0.7919196774581343,0.8880996028591304,0.8747204884603146,0.8275391025203197,0.8583430093572842,0.8535619151697289,0.8945085718188648,0.8933132982719759,0.79311522436992,0.8933815996175125,0.8908544498326617,0.2809148464913155,0.1920090164996165,0.1855957712623001,0.1343289031986494,0.1348443227209086,0.2450499575784871,0.1350509836297722,0.1343745719411058,0.2134383301874084,0.1052573708247793,0.0732998244064159,-0.0010538145530322,-0.0007235276982311,0.1320512032921403,-0.0201262841847809,0.2864197181029753,0.1782387587403462,0.1462812123219829,0.0719275733625346,0.0722578602173358,0.2050325912077072,0.0729813879155669,0.0528551037307859,0.2975206611570248,0.2107438016528925,0.1900826446280991,0.0,0.0,0.2644628099173554,0.128099173553719,0.385694607919935,0.5131804146291878,0.4743416490252569,0.6286361115149225,0.6286361115149225,0.3434732248795389,0.6286361115149225,0.6532496021698312,0.2490615546703338,0.1491187959909439,0.1293167471885681,0.001053815241903,0.001960125286132,0.1922436952590942,0.1053892821073532,0.3317682445049286,0.1700844168663025,0.143399953842163,-0.0021076202392578,-0.0006299614906311,0.2312342226505279,-0.0044237971305847
gc_correlated,synthetic_default,none,kmer_logistic_regression,frozen,-1,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,3.5818182256721385e-06,4.39435480221305e-06,,,4.97491938977102e-06,,8.036813068274631e-07,9.046980273037808e-07,0.0002413126213885,0.0002543444078207,,,0.0003361647296109,,3.027885397899972e-06,0.0005174172499732,0.0005304490364054,,,0.0006122693581955,,0.0002761046285846,0.0002791325139825,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0002843143634834,0.0002877317999096,,,0.0003361647296109,,4.427311536136068e-05,0.0004401507853578,0.0004849745648859,,,0.0006723294592217,,-4.278398088253255e-06
gc_correlated,synthetic_default,none,kmer_logistic_regression,frozen,42,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,3.5818182256721385e-06,4.39435480221305e-06,,,4.97491938977102e-06,,8.036813068274631e-07,9.046980273037808e-07,0.0002413126213885,0.0002543444078207,,,0.0003361647296109,,3.027885397899972e-06,0.0005174172499732,0.0005304490364054,,,0.0006122693581955,,0.0002761046285846,0.0002791325139825,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0002843143634834,0.0002877317999096,,,0.0003361647296109,,4.427311536136068e-05,0.0004401507853578,0.0004849745648859,,,0.0006723294592217,,-4.278398088253255e-06
gc_correlated,synthetic_default,none,small_cnn,full,-1,0.9997,0.9997,,,0.9997,,0.9997,0.9997,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,0.0001183938585052,0.0003397290977544,,,0.0002186894847748,,0.0002176703606741,6.895858225047923e-05,-3.965380153740002e-05,0.0001220055116109,,,1.310110092159997e-05,,-0.0001391117975839,0.0002347058393027,0.0003963651524511,,,0.0002874607417617,,0.0002743596408401,0.0001352478432562,0.0003,0.0005,,,0.0,,0.0004,,,,,,,,,0.0003889109785404,0.0005152608410753,,,1.3102257403196926e-05,,0.0004063434861109,9.57489013671875e-05,-1.5854835510253907e-06,,,2.620220184326172e-05,,2.189874649047852e-05
gc_correlated,synthetic_default,none,small_cnn,full,11,0.9995,0.9995,,,0.9995,,0.9995,0.9995,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,0.0004769647601775,0.0016955775600112,,,0.0002201069627539,,0.0002201069627537,0.0003388348277701,0.0004537604289217,0.0014969429040975,,,0.0,,0.0001441159869301,0.0008874907123172,0.001930673187493,,,0.0004337302833955,,0.0004337302833955,0.0005778462703256,0.0005,0.0015,,,0.0,,0.001,,,,,,,,,0.0007248289766721,0.0015871240757405,,,2.9802321721561503e-10,,0.0009961111936718,0.0,0.0,,,0.0,,0.0
gc_correlated,synthetic_default,none,small_cnn,full,23,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,7.142090452488114e-08,1.3828696012345558e-11,,,1.3191804314163606e-08,,1.2685851610430393e-08,1.4815516923662526e-10,7.354960601446692e-06,-2.5536640606560468e-06,,,5.960464477539105e-08,,-2.2542842685879805e-06,1.0027604275819613e-05,1.1897961371687417e-07,,,2.732248319148312e-06,,2.672643674372921e-06,4.183594057849405e-07,0.0,0.0,,,0.0,,0.0,,,,,,,,,1.2737224096781574e-05,2.819290784827899e-06,,,6.273388919453282e-08,,3.091201733695925e-06,3.2186508178710938e-06,-5.0067901611328125e-06,,,1.1920928955078125e-07,,-4.76837158203125e-06
